Epic / Phase,ID,Task,Description,Priority,Estimate,Depends On,Acceptance criteria,Status
"A0 Safety, provenance & setup",A0-1,Rotate AWS key pair,Revoke the committed ShmuelShmuel.pem key pair in AWS IAM/EC2 and generate a replacement stored in a secret manager.,Critical,S,-,Old key rejected on auth attempt; new key works; rotation logged.,To Do
"A0 Safety, provenance & setup",A0-2,Change exposed password & audit account,Change the password from Password.docx and review AWS account activity for unauthorized use.,Critical,S,-,"Password changed; CloudTrail/billing reviewed; no unexpected activity, or incident raised.",To Do
"A0 Safety, provenance & setup",A0-3,Purge secrets from project & history,Remove AWS/ from the project and scrub the key + password from any version-control history.,High,S,"A0-1,A0-2",No secret present in working tree or git history (verified by scan).,To Do
"A0 Safety, provenance & setup",A0-4,Archive the 2015 project,"Store an immutable, dated copy of the original Unity project and both APKs in cold storage.",High,S,-,Read-only archive exists and is restorable; checksum recorded.,To Do
"A0 Safety, provenance & setup",A0-5,Create Git repo + Git LFS,"Initialize repo with a Unity 6 .gitignore and LFS patterns for models, textures, audio, and video.",High,S,-,Fresh clone builds; large binaries tracked by LFS; no engine temp files committed.,To Do
"A0 Safety, provenance & setup",A0-6,Decide studio name & bundle ID,Choose the studio/company name and final reverse-DNS bundle identifier (com.<studio>.fscord).,Medium,S,-,Bundle ID agreed and recorded; reserved on both stores if possible.,To Do
"A0 Safety, provenance & setup",A0-7,Install & pin Unity 6 LTS,Install Unity 6 LTS via Hub and pin one exact patch version for the whole team.,High,S,-,Agreed version documented in README; all machines on the same patch.,To Do
A1 Bootstrap & CI,A1-1,Create Unity 6 URP mobile project,New URP (mobile) project using the target folder structure from the roadmap (4.4).,High,M,A0-7,Project opens on the pinned version; folder structure in place; URP mobile renderer active.,To Do
A1 Bootstrap & CI,A1-2,Add package stack,"Add Input System, AI Navigation, Behavior, Addressables, UGS, LevelPlay, and Unity IAP.",High,S,A1-1,Packages resolve and compile; versions pinned in manifest.,To Do
A1 Bootstrap & CI,A1-3,Configure player settings,"Set bundle ID, orientation, min SDK (Android) / iOS target, IL2CPP + ARM64, icons/splash placeholders.",High,S,"A1-1,A0-6",Android + iOS player settings correct; 64-bit only; builds locally.,To Do
A1 Bootstrap & CI,A1-4,Set up signing in secret store,"Create Android keystore and iOS provisioning; store credentials in CI secrets, never in repo.",High,S,A1-3,Signed local build succeeds; no signing secret in source control.,To Do
A1 Bootstrap & CI,A1-5,CI build pipeline,Pipeline builds signed Android + iOS artifacts from a commit (Unity Build Automation or GitHub Actions + Fastlane).,High,M,A1-4,Green CI run produces installable signed artifacts for both platforms.,To Do
A1 Bootstrap & CI,A1-6,Device smoke test,Install the empty URP build on a physical Android and iOS device.,Medium,S,A1-5,App launches and renders on both devices; cold-start recorded as baseline.,To Do
A2 Core framework,A2-1,Boot scene + service locator/DI,Boot scene that initializes services in order and hands typed references to systems.,High,M,A1-1,Services initialize once at boot; no static-singleton sprawl; init order deterministic.,To Do
A2 Core framework,A2-2,Event bus / signals,Typed publish/subscribe system for gameplay events (e.g. TankDestroyed).,High,M,A2-1,Systems communicate via events; no GameObject.Find in new code; unit-tested.,To Do
A2 Core framework,A2-3,Object pooling system,"Generic pool for transient objects (shells, VFX, tanks, mines, floating text).",High,M,A2-1,Pooled spawn/return with no per-use allocation; capacity configurable; tested.,To Do
A2 Core framework,A2-4,Match Definition schema,"Mode-agnostic ScriptableObject describing a match (spawns, waves, control points, objectives, win/lose).",High,M,A2-1,A match can be fully described as data; schema documented for designers.,To Do
A2 Core framework,A2-5,Match engine skeleton,Runtime engine that plays any Match Definition and emits state events.,High,L,"A2-4,A2-2",Engine drives a match end-to-end from data; emits start/wave/win/lose events.,To Do
A2 Core framework,A2-6,Match-flow FSM,State machine: Intro -> Playing -> WaveBreak -> Victory/Defeat.,High,M,A2-5,Match flow driven by the FSM; no boolean-flag state; transitions unit-tested.,To Do
A2 Core framework,A2-7,Gesture input layer,"Input System + Enhanced Touch: tap, circle, swipe, X, drag, shake, pan/rotate/pinch -> intent events.",High,L,A2-2,All six weapon gestures + camera controls produce correct intent events; decoupled from effects.,To Do
A2 Core framework,A2-8,Addressable scene loading,Additive scene load/unload via Addressables; retire Application.LoadLevel.,High,M,A1-2,Scenes load additively via Addressables; no deprecated load calls remain.,To Do
A2 Core framework,A2-9,Grey-box vertical test,Test scene wiring gestures -> pooled placeholder effects on the match engine.,Medium,M,"A2-3,A2-7,A2-6",All gestures fire pooled effects; a data-defined match runs start to finish.,To Do
A3 Gameplay parity on data,A3-1,Weapon ScriptableObjects,"Author HE, concentrated strike, napalm, daisy cutter, mines, nuke as data assets.",High,M,A2-4,"Each weapon defined as data (damage, radius, cooldown, VFX refs); no hard-coded stats.",To Do
A3 Gameplay parity on data,A3-2,Tank/unit ScriptableObjects,"Author Abrams, M60, T-55/62/72, Type-99 stat definitions.",High,M,A2-4,"Units defined as data (HP, armor, speed, range, archetype); designer-editable.",To Do
A3 Gameplay parity on data,A3-3,Author original levels as Match Definitions,Recreate the four original levels as data-driven Match Definitions.,High,M,"A3-1,A3-2,A2-5",Four levels selectable and playable from data.,To Do
A3 Gameplay parity on data,A3-4,Movement via AI Navigation,NavMeshSurface bake + agent-based tank movement.,High,M,A2-5,Tanks path correctly on baked navmesh; no legacy NavMesh API.,To Do
A3 Gameplay parity on data,A3-5,Port decision logic to Behavior; retire RAIN,Rebuild existing tank decisions in Unity Behavior graphs and remove RAIN DLLs.,High,L,A3-4,RAIN.dll removed; tanks behave at parity via Behavior graphs.,To Do
A3 Gameplay parity on data,A3-6,Control points & capture,"Decoupled, event-driven control-point capture logic.",High,M,A2-5,Capture works via events; no cross-script Find; matches original behavior.,To Do
A3 Gameplay parity on data,A3-7,Wave spawner,Wave spawning system reading the Match Definition.,High,M,A2-5,Waves spawn per data; pooled; counts/timing match design.,To Do
A3 Gameplay parity on data,A3-8,Fog of war & listening posts,Reimplement FOW reveal and listening-post sightlines.,Medium,M,A2-5,FOW reveals around units/posts; performant on device.,To Do
A3 Gameplay parity on data,A3-9,Targeting / line-of-sight,Replace TankSight: LOS-based target acquisition.,High,M,A3-4,Units acquire/hold targets by LOS at parity; no uncached lookups in hot path.,To Do
A3 Gameplay parity on data,A3-10,Combat resolution,"Damage, armor, napalm burn-over-time, mine stop/damage, slow-mo concentrated strike.",High,L,A3-1,Combat math matches original; covered by unit tests.,To Do
A3 Gameplay parity on data,A3-11,HUD & menus on events,Rebuild HUD and menus driven by state events (no GameObject.Find wiring).,High,M,A2-2,UI updates from events; menu flow works; no Find-based wiring.,To Do
A3 Gameplay parity on data,A3-12,Parity playtest,Full playthrough of all four levels vs the 2015 beta.,High,M,"A3-3,A3-5,A3-6,A3-7,A3-8,A3-9,A3-10,A3-11",All four levels play at parity on device; sign-off recorded.,To Do
A4 Pipelines & persistence,A4-1,URP art-import pipeline,"Import preset: scale, LODs, colliders, ASTC compression; validate with a placeholder model.",High,M,A1-1,Placeholder model imports to spec; draw-call/memory sane; preset documented.,To Do
A4 Pipelines & persistence,A4-2,Audio import pipeline,"Compression settings; streaming for music, decompress-on-load for short SFX.",Medium,S,A1-1,Placeholder audio imports per policy; mobile memory acceptable.,To Do
A4 Pipelines & persistence,A4-3,Addressable groups & size budget,Organize content into Addressable groups; set an initial build-size budget.,Medium,M,A2-8,Content grouped; build size measured against budget in CI.,To Do
A4 Pipelines & persistence,A4-4,Save service + Cloud Save,Versioned local save + UGS Cloud Save sync.,High,M,A2-1,Progress/settings persist across restart and sync across devices; migration-safe.,To Do
A4 Pipelines & persistence,A4-5,Analytics wiring,"Instrument session, match start/win/lose, weapon use events.",Medium,S,A2-2,Events appear in the analytics dashboard with correct params.,To Do
A4 Pipelines & persistence,A4-6,Remote Config integration,"Expose tuning values (ammo, damage, wave size) via Remote Config.",Medium,M,A2-4,Values fetched at boot and override defaults; safe fallback when offline.,To Do
A4 Pipelines & persistence,A4-7,Stub mode & meta interfaces,Interfaces/stubs for the Stage B mode framework and meta-progression.,Medium,M,"A2-5,A4-4",Interfaces exist and compile; a stub mode runs; documented for Stage B.,To Do
"A5 Backend, optimization & hardening",A5-1,UGS Authentication,"Anonymous-first auth, upgradeable to platform accounts.",High,S,A4-4,Anonymous sign-in works; identity persists; upgrade path documented.,To Do
"A5 Backend, optimization & hardening",A5-2,UGS Economy skeleton,Placeholder currency and catalog to validate the economy plumbing.,Medium,M,A4-6,Currency balance reads/writes; catalog resolves; no client-trusted balances.,To Do
"A5 Backend, optimization & hardening",A5-3,Secrets & environments,Secret management + dev/staging/prod environment configs.,High,S,A1-4,No secrets in source; environment switch works; prod locked down.,To Do
"A5 Backend, optimization & hardening",A5-4,Device profiling pass,Profiler + Memory Profiler on target hardware; fix allocations/hotspots.,High,M,A3-12,No steady-state per-frame allocations in combat; hotspots addressed.,To Do
"A5 Backend, optimization & hardening",A5-5,Pooling coverage audit,Ensure zero Instantiate/Destroy in combat hot paths.,High,S,A3-10,Combat spawns/returns via pools only; verified by profiler.,To Do
"A5 Backend, optimization & hardening",A5-6,Cache component lookups,Cache GetComponent references; remove Update-loop lookups.,Medium,S,A3-12,No per-frame GetComponent in hot paths; references cached on Awake.,To Do
"A5 Backend, optimization & hardening",A5-7,Budgets enforced in CI,"Set + enforce frame time, draw calls, memory, build size, cold start.",High,M,A5-4,CI fails when a budget is exceeded; budgets documented.,To Do
"A5 Backend, optimization & hardening",A5-8,Automated tests (combat/progression),Edit/play-mode tests for combat math and progression.,High,M,A3-10,Tests cover core math + progression; run green in CI.,To Do
"A5 Backend, optimization & hardening",A5-9,CI smoke tests + crash reporting,Per-scene smoke test in CI; enable Cloud Diagnostics.,Medium,S,A1-5,Each scene loads in CI; crashes reported with symbols.,To Do
"A5 Backend, optimization & hardening",A5-10,EXIT GATE review,Verify the expansion-ready foundation checklist; go/no-go for Stage B spend.,Critical,S,"A4-1,A4-4,A4-5,A4-6,A4-7,A5-4,A5-7,A5-8",All gate criteria met and signed off; Stage B authorized.,To Do
